- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1867.427	-1880.162	-863.296	79.534	1009.434	3975.500
1	-1867.126	-1880.484	-862.149	79.765	1009.189	3974.760
2	-1866.787	-1880.597	-862.559	80.194	1009.118	3973.910
3	-1866.853	-1880.556	-863.696	80.186	1009.659	3973.828
4	-1867.063	-1880.505	-864.310	79.603	1010.248	3974.165
5	-1867.184	-1880.558	-864.658	79.159	1009.947	3974.073
6	-1867.160	-1880.796	-864.877	79.289	1008.906	3973.606
7	-1867.026	-1880.991	-864.423	79.517	1008.163	3973.440
8	-1867.013	-1880.861	-863.597	79.260	1008.000	3973.796
9	-1867.220	-1880.601	-863.213	78.851	1007.976	3974.326
10	-1867.369	-1880.504	-863.536	79.128	1008.056	3974.580
11	-1867.350	-1880.547	-864.339	79.982	1008.337	3974.306
12	-1867.320	-1880.630	-864.939	80.461	1008.630	3973.721
13	-1867.275	-1880.728	-865.140	80.217	1008.814	3973.502
14	-1867.139	-1880.732	-865.362	79.812	1008.944	3974.074
15	-1866.916	-1880.553	-865.453	79.799	1009.025	3975.007
16	-1866.668	-1880.287	-864.738	80.045	1008.885	3975.381
17	-1866.598	-1880.172	-863.359	79.994	1008.431	3974.854
18	-1866.786	-1880.395	-862.506	79.615	1007.885	3974.185
19	-1867.054	-1880.862	-863.231	79.538	1007.489	3974.205
20	-1867.203	-1881.204	-864.837	80.052	1007.457	3974.743
21	-1867.244	-1881.015	-865.580	80.670	1007.666	3975.185
22	-1867.310	-1880.416	-865.191	80.718	1007.771	3975.256
23	-1867.380	-1880.120	-864.317	80.019	1007.759	3975.021
24	-1867.367	-1880.476	-863.256	79.203	1007.762	3974.560
25	-1867.284	-1880.980	-862.519	78.964	1007.836	3974.009
26	-1867.107	-1881.138	-862.661	79.159	1008.011	3973.664
27	-1866.933	-1880.918	-863.603	79.149	1008.160	3973.817
28	-1866.966	-1880.562	-864.952	78.711	1007.978	3974.615
29	-1867.144	-1880.393	-865.923	78.604	1007.593	3975.647
30	-1867.185	-1880.455	-865.718	79.533	1007.614	3976.135
31	-1866.960	-1880.470	-864.556	80.848	1008.110	3975.793
32	-1866.714	-1880.328	-863.179	81.555	1008.475	3975.086
33	-1866.632	-1880.269	-862.339	81.677	1008.481	3974.735
34	-1866.644	-1880.394	-862.889	81.571	1008.456	3974.896
35	-1866.836	-1880.515	-864.524	81.275	1008.611	3975.030
36	-1867.243	-1880.450	-865.921	80.834	1008.622	3974.834
37	-1867.525	-1880.218	-866.331	80.436	1008.265	3974.761
38	-1867.526	-1880.097	-865.411	80.198	1007.960	3975.061
39	-1867.441	-1880.204	-863.450	80.028	1008.022	3975.318
40	-1867.319	-1880.334	-861.887	79.798	1008.124	3975.184
41	-1867.180	-1880.385	-861.843	79.652	1008.057	3974.818
42	-1867.147	-1880.440	-863.156	79.918	1008.255	3974.699
43	-1867.178	-1880.555	-864.967	80.548	1008.876	3975.146
44	-1867.262	-1880.588	-865.947	81.102	1009.276	3975.889
45	-1867.304	-1880.423	-865.191	81.409	1009.072	3976.224
46	-1867.167	-1880.250	-863.203	81.643	1008.718	3975.754
47	-1867.017	-1880.366	-861.435	81.644	1008.620	3974.835
48	-1866.861	-1880.786	-861.309	81.289	1008.641	3974.227
49	-1866.774	-1881.115	-863.135	80.997	1008.424	3974.337
50	-1867.026	-1880.899	-865.587	81.089	1007.911	3974.774
51	-1867.373	-1880.156	-866.981	81.481	1007.576	3975.009
52	-1867.331	-1879.601	-866.575	82.089	1007.799	3975.056
53	-1866.975	-1879.903	-864.864	82.581	1008.268	3975.031
54	-1866.651	-1880.665	-863.194	82.461	1008.296	3974.804
55	-1866.542	-1880.974	-862.609	81.980	1007.726	3974.294
56	-1866.706	-1880.622	-863.284	81.797	1007.190	3973.689
57	-1866.957	-1880.137	-864.836	82.031	1007.261	3973.594
58	-1867.019	-1879.977	-866.148	82.454	1007.749	3974.467
59	-1866.849	-1880.115	-865.978	82.718	1008.166	3975.850
60	-1866.740	-1880.326	-864.389	82.554	1008.152	3976.507
61	-1866.898	-1880.481	-862.515	82.133	1007.709	3975.738
62	-1867.080	-1880.491	-861.483	81.833	1007.235	3974.216
63	-1867.164	-1880.363	-861.999	81.794	1007.031	3973.123
64	-1867.392	-1880.261	-863.673	81.878	1007.038	3972.956
65	-1867.708	-1880.325	-865.175	81.997	1007.241	3973.447
66	-1867.804	-1880.592	-865.594	82.231	1007.683	3974.141
67	-1867.516	-1880.934	-864.843	82.414	1008.046	3974.606
68	-1867.008	-1881.017	-863.479	82.108	1008.081	3974.503
69	-1866.729	-1880.653	-862.467	81.308	1007.897	3973.891
70	-1866.848	-1880.156	-862.559	80.762	1007.674	3973.298
71	-1867.085	-1880.042	-863.799	81.074	1007.592	3973.118
72	-1867.120	-1880.422	-865.395	81.949	1007.736	3973.331
73	-1867.005	-1880.828	-866.203	82.673	1007.890	3973.754
74	-1866.908	-1880.698	-865.825	82.786	1007.782	3974.259
75	-1866.789	-1880.132	-864.838	82.333	1007.557	3974.582
76	-1866.816	-1879.878	-863.792	81.766	1007.498	3974.388
77	-1867.156	-1880.204	-863.077	81.630	1007.625	3973.771
78	-1867.145	-1880.594	-863.939	82.048	1007.896	3973.118
79	-1866.869	-1880.870	-865.871	82.428	1008.180	3972.875
80	-1867.099	-1880.962	-866.328	82.290	1008.079	3973.276
81	-1867.346	-1880.793	-865.517	81.901	1007.502	3974.124
82	-1867.357	-1880.627	-864.785	81.467	1007.100	3975.186
83	-1867.306	-1880.525	-863.596	80.856	1007.558	3976.067
84	-1867.194	-1880.301	-862.083	80.458	1008.606	3975.960
85	-1867.254	-1880.233	-861.688	80.642	1009.212	3974.781
86	-1867.294	-1880.573	-862.688	81.017	1008.918	3973.498
87	-1867.205	-1880.928	-864.305	81.193	1008.312	3972.901
88	-1867.229	-1880.793	-865.350	81.462	1008.107	3973.279
89	-1867.330	-1880.334	-864.851	82.169	1008.322	3974.528
90	-1867.472	-1880.108	-863.256	82.858	1008.397	3975.685
91	-1867.174	-1880.203	-862.800	82.853	1008.214	3975.765
92	-1866.435	-1880.603	-864.345	82.533	1008.253	3975.086
93	-1866.548	-1881.073	-865.682	82.706	1008.467	3974.487
94	-1867.133	-1881.001	-865.795	83.239	1008.535	3974.300
95	-1867.356	-1880.451	-865.973	83.581	1008.599	3974.362
96	-1867.343	-1880.191	-865.917	83.461	1008.908	3974.551
97	-1866.987	-1880.409	-864.695	82.901	1009.233	3974.977
98	-1866.665	-1880.732	-863.493	82.366	1009.115	3975.504
99	-1866.605	-1880.914	-863.389	82.218	1008.622	3975.833
100	-1866.542	-1880.976	-864.025	82.352	1008.256	3975.993
101	-1866.889	-1880.944	-864.711	82.513	1008.215	3976.008
102	-1867.607	-1880.722	-864.833	82.323	1008.260	3975.918
103	-1867.811	-1880.398	-864.409	81.599	1008.308	3975.909
104	-1867.346	-1880.230	-863.994	80.937	1008.330	3976.245
105	-1866.814	-1880.511	-863.680	81.013	1008.087	3976.900
106	-1866.869	-1881.148	-863.367	81.633	1007.740	3977.225
107	-1867.266	-1881.345	-863.123	82.278	1007.706	3976.805
108	-1867.408	-1880.741	-863.484	82.906	1007.852	3975.931
109	-1867.361	-1880.015	-864.348	83.444	1007.789	3975.098
110	-1867.261	-1879.922	-864.845	83.307	1007.521	3974.801
111	-1867.058	-1880.457	-864.511	82.389	1007.397	3975.114
112	-1866.856	-1880.930	-863.833	81.589	1007.574	3975.413
113	-1866.595	-1880.919	-863.766	81.850	1007.831	3975.282
114	-1866.414	-1880.599	-864.238	82.918	1007.942	3974.903
115	-1866.747	-1880.270	-864.576	83.629	1007.994	3974.428
116	-1867.208	-1880.117	-864.831	83.333	1008.289	3973.816
117	-1867.144	-1880.257	-865.283	82.486	1008.677	3973.417
118	-1866.869	-1880.487	-865.652	81.973	1008.550	3973.810
119	-1866.928	-1880.617	-865.490	82.176	1007.923	3974.979
120	-1867.403	-1880.718	-864.618	82.697	1007.688	3975.978
121	-1867.687	-1880.746	-863.830	82.804	1008.182	3975.920
122	-1867.244	-1880.608	-863.998	82.211	1008.797	3975.083
123	-1866.741	-1880.479	-864.630	81.478	1009.143	3974.305
124	-1866.912	-1880.483	-864.392	81.323	1009.423	3974.048
125	-1867.452	-1880.469	-863.471	81.615	1009.644	3974.298
126	-1867.428	-1880.446	-863.292	81.776	1009.536	3974.647
127	-1866.691	-1880.512	-863.634	81.715	1009.233	3974.881
128	-1866.494	-1880.639	-863.359	81.734	1009.093	3975.155
129	-1867.274	-1880.702	-862.668	81.963	1009.281	3975.434
130	-1867.738	-1880.559	-862.654	82.148	1009.737	3975.427
131	-1867.350	-1880.166	-863.756	82.016	1010.177	3975.093
132	-1866.915	-1879.834	-864.899	81.706	1010.245	3974.775
133	-1867.140	-1879.975	-864.799	81.474	1009.802	3974.650
134	-1867.510	-1880.450	-863.995	81.374	1009.279	3974.728
135	-1867.231	-1880.792	-863.901	81.207	1009.335	3975.190
136	-1866.627	-1880.822	-864.634	80.709	1009.752	3975.717
137	-1866.478	-1880.599	-864.981	80.060	1009.692	3975.567
138	-1867.010	-1880.234	-864.523	79.834	1009.154	3974.836
139	-1867.358	-1880.036	-864.485	80.337	1008.903	3974.503
140	-1866.770	-1880.214	-865.511	81.149	1009.075	3975.025
141	-1866.228	-1880.595	-866.019	81.400	1009.081	3975.706
142	-1866.787	-1880.813	-864.780	80.925	1008.892	3975.747
143	-1867.650	-1880.713	-863.025	80.333	1009.167	3975.343
144	-1867.591	-1880.403	-862.545	80.087	1009.924	3975.233
145	-1866.916	-1880.155	-863.546	80.225	1010.370	3975.628
146	-1866.938	-1880.284	-864.610	80.490	1010.182	3975.915
147	-1867.660	-1880.664	-864.518	80.544	1009.826	3975.590
148	-1867.878	-1880.793	-863.703	80.529	1009.716	3975.133
149	-1867.201	-1880.602	-863.274	80.815	1009.875	3975.093
150	-1866.456	-1880.399	-863.099	81.085	1010.085	3975.361
151	-1866.602	-1880.270	-862.534	81.010	1010.157	3975.700
152	-1867.233	-1880.164	-862.218	81.007	1010.157	3975.792
153	-1867.147	-1880.172	-863.238	81.285	1010.344	3975.343
154	-1866.413	-1880.382	-864.838	81.521	1010.759	3974.576
155	-1866.234	-1880.589	-865.414	81.556	1011.019	3974.100
156	-1867.031	-1880.518	-864.736	81.510	1010.784	3974.230
157	-1867.736	-1880.217	-863.636	81.344	1010.125	3974.659
158	-1867.396	-1879.968	-863.100	80.863	1009.573	3975.003
159	-1866.646	-1879.987	-863.485	80.230	1009.551	3975.110
160	-1866.533	-1880.204	-864.322	80.008	1009.870	3974.836
161	-1867.047	-1880.395	-865.167	80.495	1010.270	3974.253
162	-1867.380	-1880.503	-865.763	81.110	1010.769	3973.716
163	-1866.901	-1880.480	-865.615	81.118	1011.253	3973.449
164	-1866.294	-1880.343	-865.122	80.717	1011.267	3973.534
165	-1866.392	-1880.303	-864.311	80.542	1010.591	3973.851
166	-1866.841	-1880.384	-863.234	80.600	1009.973	3974.191
167	-1866.793	-1880.460	-862.984	80.394	1010.245	3974.490
168	-1866.256	-1880.503	-863.865	79.865	1010.879	3974.554
169	-1866.384	-1880.513	-864.670	79.307	1010.839	3974.258
170	-1867.444	-1880.476	-864.459	78.887	1010.202	3974.028
171	-1868.197	-1880.444	-863.606	78.572	1009.796	3974.389
172	-1867.710	-1880.406	-862.910	78.266	1009.805	3975.014
173	-1866.595	-1880.407	-862.642	78.207	1009.731	3975.411
174	-1866.359	-1880.612	-862.381	78.703	1009.389	3975.775
175	-1867.278	-1880.909	-862.156	79.313	1009.108	3976.155
176	-1867.764	-1880.863	-862.923	79.465	1009.131	3975.961
177	-1867.012	-1880.372	-865.080	79.539	1009.369	3975.049
178	-1866.140	-1879.933	-866.940	79.987	1009.631	3974.436
179	-1866.272	-1879.994	-866.227	80.543	1009.751	3974.900
180	-1866.979	-1880.345	-863.699	80.803	1009.878	3975.574
181	-1867.086	-1880.636	-862.857	80.756	1010.211	3975.545
182	-1866.610	-1880.829	-864.495	80.365	1010.452	3975.174
183	-1866.823	-1880.902	-866.507	79.436	1010.254	3975.019
184	-1867.661	-1880.746	-867.153	78.447	1009.730	3975.008
185	-1867.848	-1880.383	-866.110	78.267	1009.262	3974.895
186	-1867.163	-1880.095	-864.446	78.955	1009.037	3974.976
187	-1866.610	-1880.243	-863.528	79.899	1008.995	3976.068
188	-1866.964	-1880.730	-863.094	80.467	1009.111	3978.077
189	-1867.610	-1880.964	-862.622	80.258	1009.309	3979.446
