- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1867.055	-1880.611	-863.620	92.814	1020.038	3981.847
1	-1867.128	-1879.951	-863.589	92.321	1019.633	3981.535
2	-1867.287	-1879.558	-863.710	92.237	1019.886	3981.287
3	-1867.376	-1880.018	-863.932	92.519	1020.554	3981.003
4	-1867.261	-1880.843	-864.425	92.784	1020.960	3980.690
5	-1867.111	-1881.148	-864.902	92.709	1020.894	3980.730
6	-1867.044	-1880.703	-864.723	92.388	1020.747	3981.199
7	-1867.070	-1880.017	-863.870	92.215	1020.799	3981.489
8	-1867.138	-1879.740	-863.143	92.317	1020.933	3980.974
9	-1867.072	-1880.097	-863.302	92.391	1021.035	3979.965
10	-1866.833	-1880.715	-864.176	92.173	1021.175	3979.500
11	-1866.791	-1880.954	-864.698	91.969	1021.459	3980.171
12	-1867.114	-1880.599	-864.287	92.321	1021.844	3981.333
13	-1867.395	-1880.214	-863.637	93.083	1021.941	3981.778
14	-1867.344	-1880.319	-863.598	93.718	1021.581	3981.280
15	-1867.162	-1880.614	-864.029	94.071	1021.224	3980.707
16	-1867.185	-1880.613	-864.295	93.984	1021.366	3980.683
17	-1867.345	-1880.357	-864.246	93.481	1021.895	3981.064
18	-1867.279	-1880.120	-864.186	93.161	1022.116	3981.189
19	-1866.964	-1880.014	-864.252	93.289	1021.577	3980.609
20	-1866.715	-1880.021	-864.162	93.376	1020.744	3980.041
21	-1866.786	-1880.079	-863.768	93.084	1020.315	3980.371
22	-1866.976	-1880.090	-863.368	92.802	1020.476	3981.244
23	-1866.982	-1880.036	-863.432	92.710	1021.149	3981.776
24	-1866.920	-1880.017	-863.826	92.411	1021.944	3981.767
25	-1866.933	-1880.072	-863.985	91.992	1022.371	3981.625
26	-1867.062	-1880.199	-863.977	92.024	1022.365	3981.667
27	-1867.201	-1880.395	-864.090	92.440	1022.169	3981.782
28	-1867.195	-1880.596	-864.197	92.439	1022.002	3981.876
29	-1867.170	-1880.638	-864.016	91.813	1021.941	3981.877
30	-1867.200	-1880.369	-863.553	91.344	1021.968	3981.628
31	-1867.255	-1880.007	-863.318	91.495	1022.068	3981.250
32	-1867.291	-1879.969	-863.761	91.829	1022.212	3980.980
33	-1867.269	-1880.229	-864.342	91.862	1022.188	3980.844
34	-1867.255	-1880.403	-864.246	91.540	1021.834	3980.563
35	-1867.271	-1880.299	-863.567	91.162	1021.341	3979.904
36	-1867.238	-1880.004	-863.040	90.969	1020.987	3979.103
37	-1867.151	-1879.793	-863.077	90.835	1020.852	3978.898
38	-1867.069	-1879.918	-863.434	90.731	1020.960	3979.788
39	-1867.076	-1880.214	-863.774	90.759	1021.311	3981.174
40	-1867.029	-1880.290	-864.111	90.851	1021.630	3981.788
41	-1866.850	-1880.120	-864.415	91.041	1021.551	3981.379
42	-1866.800	-1880.058	-864.377	91.271	1021.272	3980.902
43	-1866.913	-1880.231	-863.912	91.374	1021.516	3980.958
44	-1866.994	-1880.393	-863.318	91.449	1022.480	3981.102
45	-1866.975	-1880.414	-863.172	91.488	1023.422	3980.748
46	-1866.924	-1880.419	-863.793	91.262	1023.588	3980.271
47	-1866.977	-1880.456	-864.546	90.773	1023.096	3980.357
48	-1867.095	-1880.376	-864.618	90.397	1022.515	3980.865
49	-1867.088	-1880.215	-864.132	90.384	1022.147	3981.089
50	-1867.011	-1880.182	-863.541	90.550	1022.012	3980.898
51	-1867.014	-1880.224	-863.111	90.676	1022.053	3980.838
52	-1867.052	-1880.198	-863.090	90.701	1022.058	3981.402
53	-1867.044	-1880.161	-863.530	90.516	1021.727	3982.460
54	-1866.946	-1880.143	-864.165	90.274	1021.138	3982.903
55	-1866.914	-1880.102	-864.560	90.398	1020.727	3982.068
56	-1867.091	-1880.135	-864.402	90.834	1020.735	3980.918
57	-1867.298	-1880.293	-863.874	91.174	1020.772	3980.713
