- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1867.272	-1880.622	-863.410	96.631	1031.136	3986.607
1	-1866.939	-1880.527	-862.529	96.970	1031.688	3986.020
2	-1866.956	-1880.240	-862.258	96.553	1031.829	3985.645
3	-1867.215	-1879.973	-862.939	95.985	1031.203	3985.839
4	-1867.357	-1879.906	-864.075	95.792	1030.292	3985.955
5	-1867.226	-1880.143	-864.759	95.923	1029.781	3985.513
6	-1867.094	-1880.435	-864.115	96.015	1029.785	3984.951
7	-1867.131	-1880.434	-862.675	95.810	1030.063	3984.669
8	-1867.018	-1880.250	-861.950	95.491	1030.574	3984.454
9	-1866.976	-1880.104	-862.135	95.442	1031.303	3984.061
10	-1867.352	-1879.992	-862.759	95.750	1031.679	3983.747
11	-1867.660	-1880.001	-863.966	96.066	1031.355	3983.687
12	-1867.517	-1880.198	-865.360	95.915	1030.974	3983.589
13	-1867.010	-1880.261	-866.085	95.465	1031.117	3983.630
14	-1866.626	-1879.991	-865.769	95.254	1031.376	3984.130
15	-1866.750	-1879.626	-864.306	95.258	1031.155	3984.667
16	-1866.865	-1879.487	-862.677	95.157	1030.525	3984.647
17	-1866.530	-1879.839	-862.378	95.071	1029.834	3984.242
18	-1866.277	-1880.428	-863.587	94.970	1029.420	3984.002
19	-1866.474	-1880.447	-865.277	94.677	1029.468	3983.803
20	-1866.904	-1879.735	-865.921	94.513	1029.782	3982.903
21	-1867.314	-1879.173	-864.682	94.759	1030.188	3981.005
22	-1867.565	-1879.480	-862.579	95.163	1030.665	3978.923
23	-1867.698	-1880.338	-861.278	95.444	1031.028	3977.872
24	-1867.650	-1880.910	-861.317	95.640	1031.014	3978.141
25	-1867.547	-1880.767	-862.462	95.780	1030.704	3979.355
26	-1867.619	-1880.045	-863.941	95.594	1030.455	3981.012
27	-1867.584	-1879.271	-864.556	95.007	1030.256	3982.323
28	-1867.121	-1879.136	-863.914	94.597	1029.844	3982.993
29	-1866.608	-1879.822	-862.651	94.944	1029.438	3983.570
30	-1866.449	-1880.579	-861.511	95.781	1029.400	3984.294
31	-1866.400	-1880.533	-861.629	96.403	1029.600	3984.448
32	-1866.354	-1879.772	-863.603	96.600	1029.753	3983.359
33	-1866.561	-1879.057	-865.959	96.451	1029.828	3981.552
34	-1866.764	-1878.969	-866.605	96.121	1029.931	3980.176
35	-1866.744	-1879.591	-865.344	96.112	1029.979	3980.156
36	-1866.554	-1880.365	-863.840	96.442	1029.902	3981.462
37	-1866.211	-1880.578	-863.195	96.503	1029.782	3982.864
38	-1866.396	-1880.181	-863.080	96.181	1029.660	3983.200
39	-1867.296	-1879.752	-863.277	95.961	1029.650	3982.626
40	-1867.874	-1879.759	-864.097	95.987	1029.827	3982.057
41	-1867.671	-1880.103	-865.153	96.043	1029.952	3982.058
42	-1867.306	-1880.391	-865.374	96.091	1029.788	3982.446
43	-1867.151	-1880.447	-864.072	96.004	1029.420	3982.496
44	-1866.967	-1880.272	-861.898	95.638	1029.131	3981.908
45	-1866.827	-1879.877	-860.584	95.310	1029.116	3981.237
46	-1866.886	-1879.526	-861.058	95.468	1029.372	3981.180
47	-1866.851	-1879.605	-862.579	95.958	1029.717	3981.794
48	-1866.968	-1880.009	-864.041	96.077	1029.954	3982.396
49	-1867.373	-1880.270	-864.959	95.659	1030.062	3982.357
50	-1867.464	-1880.200	-865.039	95.273	1030.057	3981.837
51	-1867.205	-1879.870	-864.278	95.067	1029.782	3981.503
52	-1867.034	-1879.487	-863.161	94.795	1029.319	3981.735
53	-1867.124	-1879.432	-862.495	94.782	1028.952	3982.372
54	-1867.018	-1879.860	-863.057	95.396	1028.675	3983.027
