- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1867.288	-1879.949	-862.622	95.551	1038.977	3987.272
1	-1867.068	-1880.110	-862.650	96.040	1038.835	3987.408
2	-1867.465	-1880.553	-862.022	96.321	1038.245	3987.928
3	-1867.409	-1880.584	-861.678	96.475	1037.584	3988.111
4	-1866.570	-1880.135	-862.136	96.409	1037.414	3988.008
5	-1865.634	-1879.743	-862.661	96.037	1037.847	3988.039
6	-1865.362	-1879.726	-862.871	95.546	1038.263	3988.095
7	-1865.728	-1880.015	-863.088	95.098	1038.089	3988.044
8	-1865.986	-1880.161	-863.452	94.744	1037.534	3988.046
9	-1865.919	-1879.678	-863.734	94.482	1037.302	3988.196
10	-1866.111	-1878.804	-863.642	94.264	1037.753	3988.648
11	-1866.687	-1878.346	-863.370	94.228	1038.168	3989.272
12	-1867.070	-1878.637	-863.324	94.758	1037.752	3989.495
13	-1867.121	-1879.199	-863.569	95.778	1036.933	3989.098
14	-1867.278	-1879.540	-864.191	96.740	1036.556	3988.503
15	-1867.414	-1879.621	-865.110	97.326	1036.637	3988.214
16	-1867.265	-1879.533	-865.418	97.417	1036.880	3988.183
17	-1866.990	-1879.371	-864.190	97.007	1037.323	3987.957
18	-1866.764	-1879.365	-862.006	96.284	1037.856	3987.590
19	-1866.857	-1879.720	-860.592	95.514	1038.281	3987.731
20	-1866.942	-1880.312	-861.068	94.942	1038.571	3988.416
21	-1866.515	-1880.616	-862.863	94.604	1038.629	3988.790
22	-1866.232	-1880.407	-864.110	94.392	1038.551	3988.430
23	-1866.726	-1880.119	-863.236	94.250	1038.683	3987.810
24	-1867.410	-1880.145	-861.189	94.191	1039.003	3987.492
25	-1867.626	-1880.407	-860.640	94.233	1039.103	3987.644
26	-1867.302	-1880.563	-862.020	94.186	1038.730	3988.217
27	-1867.180	-1880.160	-863.201	94.074	1038.274	3988.790
28	-1867.980	-1879.224	-863.304	94.220	1038.307	3988.694
29	-1868.700	-1878.588	-863.240	94.435	1038.713	3988.055
30	-1867.978	-1878.822	-863.701	94.371	1038.984	3987.799
31	-1866.439	-1879.487	-864.144	94.383	1038.897	3988.322
32	-1865.743	-1879.805	-863.649	94.988	1038.654	3988.979
33	-1866.465	-1879.514	-862.935	95.893	1038.538	3989.124
34	-1867.439	-1879.055	-863.190	96.062	1038.628	3988.863
35	-1867.297	-1879.041	-863.892	95.235	1038.650	3988.655
36	-1866.636	-1879.426	-864.341	94.415	1038.353	3988.783
37	-1866.905	-1879.749	-864.462	94.507	1038.065	3989.168
