- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1866.832	-1880.228	-862.813	86.539	1014.009	3980.265
1	-1866.960	-1880.159	-863.977	86.908	1014.267	3980.057
2	-1867.187	-1880.443	-865.212	86.964	1014.375	3979.832
3	-1867.199	-1880.614	-865.633	86.868	1014.043	3979.888
4	-1866.904	-1880.474	-864.902	86.797	1013.479	3979.970
5	-1866.616	-1880.309	-863.671	86.523	1013.330	3979.882
6	-1866.560	-1880.398	-862.833	86.051	1013.679	3979.810
7	-1866.712	-1880.634	-862.882	85.821	1013.973	3979.909
8	-1866.913	-1880.715	-863.835	86.186	1013.913	3980.101
9	-1866.958	-1880.627	-865.019	86.828	1013.547	3980.195
10	-1866.937	-1880.614	-865.630	87.183	1013.112	3980.016
11	-1867.071	-1880.750	-865.376	87.074	1013.026	3979.491
12	-1867.274	-1880.873	-864.277	86.725	1013.394	3978.771
13	-1867.345	-1880.790	-863.000	86.472	1013.700	3978.179
14	-1867.268	-1880.619	-862.693	86.460	1013.440	3977.923
15	-1867.205	-1880.596	-863.627	86.633	1012.980	3978.112
16	-1867.178	-1880.604	-864.752	86.941	1012.839	3978.488
17	-1867.114	-1880.464	-865.129	87.273	1012.868	3978.445
18	-1867.077	-1880.260	-864.837	87.527	1012.912	3977.878
19	-1867.116	-1880.264	-864.258	87.731	1013.059	3977.519
20	-1867.121	-1880.533	-863.727	87.741	1013.163	3977.944
21	-1867.056	-1880.820	-863.430	87.670	1013.028	3978.681
22	-1867.019	-1880.864	-863.531	87.807	1012.827	3979.083
23	-1867.031	-1880.716	-864.369	88.058	1012.709	3979.688
24	-1867.160	-1880.656	-865.641	88.154	1012.655	3981.199
25	-1867.322	-1880.763	-866.135	87.872	1012.749	3982.875
26	-1867.311	-1880.799	-865.279	87.331	1013.135	3983.684
27	-1866.905	-1880.576	-864.266	87.072	1013.559	3983.617
28	-1866.365	-1880.468	-864.209	87.317	1013.614	3983.118
29	-1866.417	-1880.772	-864.367	87.532	1013.453	3982.610
30	-1866.841	-1881.130	-864.254	87.321	1013.530	3982.413
31	-1867.007	-1880.996	-864.645	86.853	1013.911	3982.511
32	-1866.861	-1880.378	-865.234	86.433	1014.429	3982.592
33	-1866.825	-1879.901	-864.955	86.288	1014.865	3982.640
34	-1867.193	-1880.058	-864.149	86.536	1014.983	3982.959
35	-1867.378	-1880.739	-863.330	86.989	1014.666	3983.586
36	-1866.974	-1881.218	-862.720	87.158	1014.086	3983.910
37	-1866.740	-1880.907	-862.844	86.954	1013.721	3983.741
38	-1867.148	-1880.186	-863.485	86.980	1013.858	3983.784
39	-1867.578	-1879.893	-864.198	87.458	1014.234	3984.244
40	-1867.476	-1880.162	-864.885	87.900	1014.351	3984.504
41	-1867.051	-1880.582	-864.809	87.953	1014.090	3984.335
42	-1866.929	-1880.884	-863.634	87.685	1013.795	3984.195
43	-1866.969	-1880.844	-862.815	87.424	1013.549	3984.308
44	-1866.504	-1880.537	-863.727	87.479	1013.116	3984.107
45	-1866.144	-1880.380	-865.219	87.777	1012.667	3983.362
46	-1866.534	-1880.517	-865.783	87.866	1012.685	3982.750
47	-1867.074	-1880.736	-865.668	87.328	1013.177	3982.664
48	-1867.187	-1880.718	-865.299	86.521	1013.727	3982.809
49	-1866.860	-1880.367	-864.622	86.156	1014.210	3982.906
50	-1866.534	-1880.030	-864.140	86.299	1014.665	3983.178
51	-1866.755	-1880.113	-863.782	86.458	1015.020	3983.788
52	-1867.162	-1880.384	-863.130	86.348	1015.215	3984.417
53	-1867.157	-1880.373	-863.383	86.096	1015.145	3984.754
54	-1867.121	-1880.212	-864.527	85.707	1014.690	3984.696
55	-1867.421	-1880.228	-865.067	85.269	1014.064	3984.183
56	-1867.428	-1880.314	-864.620	85.196	1013.840	3983.364
57	-1867.193	-1880.253	-863.465	85.635	1014.192	3982.961
58	-1867.012	-1880.287	-862.351	86.161	1014.595	3983.455
59	-1866.707	-1880.560	-862.622	86.312	1014.577	3983.936
60	-1866.542	-1880.672	-864.224	86.066	1014.171	3983.099
61	-1866.774	-1880.348	-865.694	85.869	1013.672	3981.283
62	-1867.030	-1880.049	-865.953	86.062	1013.323	3980.102
63	-1866.996	-1880.206	-865.212	86.481	1013.352	3980.207
64	-1866.675	-1880.622	-864.331	86.827	1013.813	3980.775
65	-1866.419	-1880.818	-863.416	87.026	1014.470	3981.060
66	-1866.511	-1880.443	-862.604	87.205	1014.922	3981.230
67	-1866.926	-1879.729	-862.998	87.459	1014.901	3981.519
68	-1867.333	-1879.582	-864.573	87.782	1014.544	3981.754
69	-1867.331	-1880.305	-865.671	87.992	1014.115	3981.785
70	-1867.238	-1881.042	-865.673	87.979	1013.764	3981.802
71	-1867.082	-1881.040	-864.017	87.758	1013.658	3981.897
72	-1866.795	-1880.387	-862.045	87.370	1013.819	3981.970
73	-1866.656	-1879.861	-862.826	87.089	1014.094	3982.092
74	-1866.677	-1879.978	-864.865	87.195	1014.312	3982.326
75	-1866.979	-1880.426	-864.729	87.505	1014.398	3982.526
76	-1867.446	-1880.540	-863.682	87.546	1014.602	3982.574
77	-1867.165	-1880.249	-864.062	87.113	1015.054	3982.325
78	-1866.186	-1880.018	-864.763	86.621	1015.427	3981.740
79	-1865.849	-1880.132	-864.213	86.577	1015.431	3981.304
80	-1866.771	-1880.311	-862.743	86.796	1015.031	3981.174
81	-1867.766	-1880.257	-862.040	86.790	1014.532	3980.985
82	-1867.458	-1880.228	-863.031	86.548	1014.497	3980.823
83	-1866.610	-1880.405	-864.878	86.508	1014.950	3981.005
84	-1866.408	-1880.403	-866.158	86.790	1015.253	3981.182
85	-1866.639	-1879.985	-865.881	86.900	1015.271	3980.925
86	-1866.565	-1879.732	-863.897	86.573	1015.635	3980.624
87	-1866.043	-1880.159	-861.281	86.109	1016.305	3980.854
88	-1866.063	-1880.863	-859.972	85.894	1016.389	3981.501
89	-1866.821	-1881.109	-861.748	85.977	1015.692	3981.971
90	-1866.697	-1880.724	-865.556	86.117	1014.937	3982.013
91	-1866.015	-1880.112	-867.227	86.188	1014.654	3981.915
92	-1866.615	-1879.847	-865.270	86.256	1014.770	3982.172
93	-1867.681	-1880.130	-863.052	86.289	1014.990	3982.655
94	-1867.455	-1880.563	-862.858	86.158	1015.141	3982.528
95	-1866.581	-1880.540	-863.332	85.934	1015.320	3981.871
96	-1867.035	-1880.108	-863.496	85.782	1015.689	3981.609
97	-1868.434	-1880.027	-864.106	85.750	1016.213	3982.019
98	-1868.441	-1880.560	-865.766	85.681	1016.571	3982.680
99	-1867.207	-1880.893	-867.783	85.342	1016.579	3983.098
100	-1866.720	-1880.341	-867.922	84.923	1016.490	3983.106
101	-1866.944	-1879.652	-865.051	84.791	1016.551	3982.977
102	-1866.579	-1879.956	-861.713	84.990	1016.713	3983.075
103	-1865.727	-1880.967	-861.026	85.335	1016.873	3983.482
104	-1865.602	-1881.494	-862.828	85.773	1016.831	3983.920
