- * MCU: TEENSY 4.1
- * JANET ID : 3
- * Sensing Started Time : 06:30:35 30/10/2022
- * Voltage Level : 0.0000 V

Timestamp	AccX	AccY	AccZ	Str1	Str2	Str3
0	-1842.751	-1832.877	-2790.249	833.232	-2419.356	-385.896
1	-1843.055	-1832.729	-2791.615	833.375	-2419.802	-386.359
2	-1843.578	-1832.527	-2792.155	833.679	-2419.564	-386.589
3	-1844.003	-1832.426	-2792.066	833.648	-2419.116	-386.446
4	-1843.456	-1832.500	-2791.470	833.302	-2419.106	-386.458
5	-1842.067	-1832.532	-2790.858	833.218	-2419.567	-386.890
6	-1841.213	-1832.414	-2790.997	833.493	-2419.939	-387.282
7	-1841.644	-1832.324	-2791.926	833.565	-2419.924	-387.280
8	-1842.639	-1832.339	-2792.899	833.246	-2419.669	-387.062
9	-1843.275	-1832.338	-2793.550	833.101	-2419.348	-386.859
10	-1843.684	-1832.241	-2794.161	833.495	-2419.035	-386.723
11	-1844.287	-1832.134	-2794.552	833.831	-2418.868	-386.633
12	-1844.546	-1832.195	-2794.093	833.583	-2418.858	-386.573
13	-1843.678	-1832.487	-2792.772	833.314	-2418.783	-386.567
14	-1842.068	-1832.861	-2791.377	833.620	-2418.504	-386.587
15	-1841.019	-1833.128	-2790.528	834.177	-2418.193	-386.642
16	-1841.363	-1833.186	-2790.210	834.349	-2417.993	-386.690
17	-1842.507	-1832.970	-2790.275	834.100	-2417.714	-386.532
18	-1843.306	-1832.494	-2790.477	833.788	-2417.378	-386.227
19	-1843.612	-1832.087	-2790.617	833.660	-2417.209	-386.047
20	-1843.893	-1832.155	-2790.848	833.680	-2417.172	-386.093
21	-1843.889	-1832.575	-2790.971	833.738	-2417.122	-386.173
22	-1843.024	-1832.856	-2790.316	833.805	-2417.060	-385.903
23	-1841.573	-1832.802	-2788.779	833.874	-2417.111	-385.331
24	-1840.599	-1832.651	-2787.436	833.946	-2417.301	-384.972
25	-1841.044	-1832.608	-2787.686	833.927	-2417.639	-385.150
26	-1842.773	-1832.611	-2789.496	833.791	-2418.245	-385.504
27	-1844.441	-1832.557	-2791.108	833.869	-2418.887	-385.483
28	-1844.859	-1832.512	-2791.231	834.357	-2419.083	-385.366
29	-1844.169	-1832.543	-2790.657	834.765	-2419.115	-385.819
30	-1843.208	-1832.574	-2790.485	834.445	-2419.557	-386.456
31	-1842.438	-1832.574	-2790.300	833.266	-2420.078	-386.301
32	-1841.949	-1832.623	-2789.157	831.966	-2419.963	-385.380
33	-1841.739	-1832.716	-2787.612	831.446	-2419.460	-384.697
34	-1841.936	-1832.739	-2787.451	831.735	-2419.504	-384.846
35	-1842.734	-1832.698	-2789.337	832.399	-2419.982	-385.494
36	-1843.751	-1832.713	-2791.820	833.131	-2419.936	-386.050
37	-1844.261	-1832.853	-2793.125	833.653	-2419.672	-386.336
38	-1844.127	-1833.033	-2792.939	833.878	-2420.056	-386.549
39	-1843.618	-1833.048	-2792.126	833.752	-2420.617	-386.716
40	-1842.720	-1832.774	-2791.453	833.163	-2420.538	-386.555
41	-1841.688	-1832.369	-2791.028	832.363	-2420.271	-386.033
42	-1841.297	-1832.182	-2790.807	832.079	-2420.537	-385.721
43	-1842.045	-1832.346	-2791.095	832.713	-2420.972	-386.044
44	-1843.596	-1832.737	-2792.207	833.762	-2421.069	-386.598
45	-1844.794	-1833.131	-2793.781	834.284	-2420.858	-386.779
46	-1844.702	-1833.243	-2794.753	833.929	-2420.453	-386.634
47	-1843.583	-1832.999	-2794.326	833.101	-2419.996	-386.484
48	-1842.534	-1832.628	-2792.774	832.386	-2419.691	-386.356
49	-1842.102	-1832.383	-2791.225	832.220	-2419.580	-386.213
50	-1841.988	-1832.397	-2790.495	832.743	-2419.630	-386.241
51	-1841.948	-1832.620	-2790.335	833.552	-2419.846	-386.307
52	-1842.140	-1832.810	-2790.334	833.873	-2419.974	-385.943
53	-1842.790	-1832.749	-2790.761	833.478	-2419.847	-385.267
54	-1843.899	-1832.515	-2791.689	833.111	-2419.758	-385.010
55	-1844.782	-1832.405	-2792.206	833.386	-2420.063	-385.431
56	-1844.427	-1832.455	-2791.390	834.096	-2420.572	-386.110
57	-1842.877	-1832.390	-2789.706	834.748	-2420.605	-386.484
58	-1841.553	-1832.131	-2788.391	835.041	-2420.044	-386.382
59	-1841.672	-1831.983	-2787.871	834.921	-2419.201	-385.995
60	-1842.701	-1832.225	-2787.891	834.469	-2418.200	-385.459
61	-1843.156	-1832.680	-2788.225	833.859	-2417.269	-385.061
62	-1842.804	-1832.881	-2788.756	833.476	-2416.877	-385.157
63	-1842.950	-1832.617	-2789.451	833.615	-2417.191	-385.532
64	-1843.987	-1832.134	-2790.066	834.078	-2417.758	-385.658
65	-1844.329	-1831.776	-2789.985	834.417	-2418.025	-385.403
66	-1842.948	-1831.702	-2789.071	834.372	-2417.864	-385.098
67	-1841.161	-1831.945	-2788.248	834.151	-2417.449	-385.144
68	-1840.806	-1832.408	-2788.396	834.134	-2417.046	-385.539
69	-1841.825	-1832.754	-2789.284	834.371	-2417.053	-385.906
70	-1842.759	-1832.738	-2790.180	834.373	-2417.600	-386.031
71	-1842.930	-1832.575	-2790.856	833.660	-2418.326	-386.070
72	-1843.011	-1832.549	-2791.593	832.587	-2418.829	-386.133
73	-1843.710	-1832.591	-2792.490	831.982	-2419.074	-385.962
74	-1844.468	-1832.603	-2793.101	832.032	-2419.345	-385.521
75	-1844.103	-1832.662	-2792.888	832.302	-2419.863	-385.325
76	-1842.544	-1832.781	-2792.038	832.488	-2420.429	-385.655
77	-1841.270	-1832.865	-2791.451	832.773	-2420.638	-386.157
78	-1841.534	-1832.925	-2791.738	833.333	-2420.630	-386.442
79	-1842.783	-1833.058	-2792.400	833.852	-2420.765	-386.429
80	-1843.514	-1833.153	-2792.548	833.846	-2421.041	-386.328
81	-1843.261	-1832.950	-2792.306	833.363	-2421.305	-386.369
82	-1843.122	-1832.567	-2792.506	833.051	-2421.422	-386.250
83	-1843.761	-1832.372	-2793.166	833.378	-2421.304	-385.611
84	-1843.903	-1832.410	-2793.201	834.065	-2420.966	-384.906
85	-1842.433	-1832.511	-2792.029	834.501	-2420.388	-384.901
86	-1840.678	-1832.595	-2790.428	834.555	-2419.734	-385.618
87	-1840.578	-1832.578	-2789.664	834.539	-2419.346	-386.619
88	-1842.002	-1832.403	-2789.984	834.590	-2419.378	-387.329
89	-1843.304	-1832.236	-2790.529	834.535	-2419.577	-387.165
90	-1843.592	-1832.296	-2790.630	834.183	-2419.567	-386.449
91	-1843.626	-1832.517	-2790.528	833.768	-2419.399	-385.874
92	-1844.226	-1832.694	-2790.646	833.847	-2419.178	-385.509
93	-1844.587	-1832.730	-2790.682	834.397	-2418.613	-385.095
94	-1843.543	-1832.626	-2789.842	834.759	-2417.984	-384.770
95	-1841.850	-1832.487	-2788.192	834.759	-2418.145	-384.813
96	-1841.286	-1832.434	-2787.032	834.824	-2419.008	-385.025
97	-1842.113	-1832.451	-2787.142	834.978	-2419.444	-385.109
98	-1843.161	-1832.443	-2787.908	834.960	-2419.173	-385.099
99	-1843.501	-1832.394	-2788.547	834.800	-2419.092	-385.312
100	-1843.352	-1832.380	-2789.019	834.557	-2419.441	-385.923
101	-1843.467	-1832.424	-2789.552	834.174	-2419.702	-386.795
102	-1843.912	-1832.470	-2790.116	833.733	-2419.677	-387.559
103	-1843.742	-1832.444	-2790.505	833.416	-2419.397	-387.909
104	-1842.507	-1832.362	-2790.399	833.360	-2418.866	-387.741
105	-1841.355	-1832.294	-2790.056	833.590	-2418.546	-387.233
106	-1841.621	-1832.273	-2790.206	833.688	-2419.088	-386.891
107	-1843.036	-1832.392	-2791.088	833.204	-2420.238	-387.018
108	-1844.030	-1832.671	-2792.116	832.513	-2420.930	-387.299
109	-1843.824	-1832.900	-2792.673	832.430	-2420.577	-387.463
110	-1843.464	-1832.876	-2792.875	832.985	-2419.754	-387.558
111	-1844.009	-1832.651	-2793.075	833.351	-2419.374	-387.499
112	-1844.489	-1832.442	-2792.874	833.246	-2419.663	-387.246
113	-1843.375	-1832.408	-2791.942	833.286	-2420.165	-387.277
114	-1841.353	-1832.555	-2790.950	833.720	-2420.475	-388.018
115	-1840.500	-1832.816	-2790.514	834.000	-2420.663	-389.072
116	-1841.277	-1832.994	-2790.452	833.782	-2420.741	-389.569
117	-1842.539	-1832.862	-2790.642	833.516	-2420.537	-389.232
118	-1843.516	-1832.585	-2791.312	833.699	-2420.473	-388.508
119	-1844.208	-1832.560	-2792.133	834.263	-2420.992	-387.972
120	-1844.617	-1832.830	-2792.382	834.887	-2421.504	-387.942
121	-1844.556	-1833.074	-2791.948	835.307	-2421.289	-388.242
122	-1843.920	-1833.083	-2791.310	835.388	-2420.778	-388.419
123	-1842.854	-1832.928	-2790.861	835.072	-2420.915	-388.201
124	-1841.949	-1832.813	-2790.645	834.563	-2421.626	-387.553
125	-1841.743	-1832.862	-2790.475	834.338	-2422.263	-386.724
126	-1842.311	-1833.027	-2790.257	834.485	-2422.757	-386.264
127	-1843.358	-1833.105	-2790.217	834.720	-2422.986	-386.451
128	-1844.331	-1832.964	-2790.652	834.812	-2422.650	-386.964
129	-1844.752	-1832.749	-2791.192	834.562	-2421.908	-387.253
130	-1844.458	-1832.686	-2790.876	833.949	-2421.199	-387.069
131	-1843.584	-1832.755	-2789.469	833.555	-2420.830	-386.755
132	-1842.308	-1832.815	-2787.920	833.848	-2421.020	-386.848
133	-1841.153	-1832.788	-2787.250	834.374	-2421.814	-387.273
134	-1840.985	-1832.604	-2787.366	834.435	-2422.756	-387.367
135	-1841.908	-1832.345	-2787.718	833.972	-2423.136	-386.980
136	-1843.102	-1832.262	-2788.266	833.560	-2422.577	-386.722
137	-1843.965	-1832.458	-2789.138	833.663	-2421.312	-386.944
138	-1844.464	-1832.707	-2790.114	834.208	-2420.103	-387.226
139	-1844.526	-1832.691	-2790.680	834.796	-2419.673	-387.194
140	-1844.003	-1832.429	-2790.442	835.144	-2419.730	-386.936
141	-1843.017	-1832.272	-2789.599	835.159	-2419.644	-386.822
142	-1842.178	-1832.354	-2789.192	834.869	-2419.490	-387.081
143	-1842.015	-1832.466	-2790.122	834.499	-2419.620	-387.302
144	-1842.315	-1832.505	-2791.718	834.378	-2419.898	-387.158
145	-1842.717	-1832.567	-2792.634	834.566	-2420.180	-387.062
146	-1843.306	-1832.586	-2792.795	834.840	-2420.641	-387.517
147	-1843.944	-1832.480	-2793.031	834.980	-2421.288	-388.170
148	-1844.037	-1832.445	-2793.353	834.870	-2421.837	-388.250
149	-1843.447	-1832.607	-2793.086	834.519	-2422.121	-387.769
150	-1842.666	-1832.779	-2792.248	833.970	-2422.306	-387.546
151	-1842.178	-1832.808	-2791.548	833.361	-2422.429	-387.910
152	-1842.118	-1832.768	-2791.285	833.080	-2422.150	-388.195
153	-1842.300	-1832.674	-2791.258	833.391	-2421.482	-387.894
154	-1842.662	-1832.460	-2791.342	833.891	-2420.948	-387.261
155	-1843.230	-1832.246	-2791.443	833.942	-2420.855	-386.844
156	-1843.751	-1832.259	-2791.354	833.607	-2421.023	-386.951
157	-1843.967	-1832.457	-2791.129	833.416	-2421.169	-387.213
158	-1843.910	-1832.563	-2790.922	833.645	-2421.188	-387.089
159	-1843.457	-1832.557	-2790.527	834.055	-2421.026	-386.816
160	-1842.466	-1832.588	-2789.701	834.311	-2420.725	-386.871
161	-1841.589	-1832.667	-2788.792	834.302	-2420.517	-387.045
162	-1841.538	-1832.679	-2788.247	834.190	-2420.494	-386.887
163	-1842.181	-1832.511	-2788.169	834.190	-2420.356	-386.333
164	-1842.936	-1832.291	-2788.540	834.103	-2419.937	-385.683
165	-1843.346	-1832.250	-2789.276	833.660	-2419.474	-385.346
166	-1843.367	-1832.436	-2789.962	833.301	-2419.192	-385.466
167	-1843.243	-1832.750	-2790.131	833.627	-2419.179	-385.883
168	-1843.248	-1832.979	-2789.826	834.472	-2419.377	-386.321
169	-1843.285	-1832.914	-2789.587	835.077	-2419.451	-386.414
170	-1843.168	-1832.633	-2789.669	834.983	-2419.261	-386.106
171	-1842.861	-1832.428	-2789.772	834.460	-2419.036	-385.785
172	-1842.595	-1832.418	-2789.742	833.953	-2419.154	-385.903
173	-1842.762	-1832.458	-2790.007	833.769	-2419.635	-386.596
174	-1843.277	-1832.363	-2790.695	833.889	-2420.123	-387.531
175	-1843.557	-1832.158	-2791.154	834.013	-2420.324	-388.244
176	-1843.395	-1832.101	-2790.963	833.958	-2420.219	-388.632
177	-1843.351	-1832.363	-2790.461	833.716	-2420.037	-388.822
178	-1843.491	-1832.725	-2790.133	833.268	-2420.133	-388.995
179	-1843.140	-1832.786	-2790.073	832.867	-2420.696	-389.182
180	-1842.159	-1832.514	-2790.222	832.875	-2421.290	-389.073
181	-1841.321	-1832.297	-2790.667	833.165	-2421.354	-388.544
182	-1841.502	-1832.371	-2791.410	833.240	-2420.926	-388.079
183	-1842.728	-1832.565	-2792.285	832.952	-2420.404	-388.173
184	-1844.052	-1832.673	-2793.088	832.625	-2419.990	-388.517
185	-1844.527	-1832.677	-2793.512	832.434	-2419.741	-388.357
186	-1844.326	-1832.659	-2793.313	832.365	-2419.745	-387.556
187	-1843.977	-1832.679	-2792.727	832.577	-2420.014	-386.937
188	-1843.423	-1832.707	-2792.118	833.253	-2420.188	-387.191
189	-1842.629	-1832.704	-2791.494	833.934	-2419.932	-387.828
190	-1842.023	-1832.664	-2790.776	833.923	-2419.535	-388.071
191	-1842.150	-1832.615	-2790.315	833.319	-2419.562	-388.005
192	-1843.057	-1832.610	-2790.401	832.978	-2419.778	-387.892
193	-1844.054	-1832.714	-2790.538	833.312	-2419.487	-387.626
194	-1844.310	-1832.865	-2790.170	833.812	-2418.995	-387.464
195	-1843.829	-1832.923	-2789.418	834.027	-2419.143	-387.796
196	-1843.098	-1832.886	-2788.748	834.008	-2419.739	-388.270
197	-1842.327	-1832.786	-2788.350	834.043	-2419.889	-388.203
198	-1841.811	-1832.577	-2788.156	834.235	-2419.497	-387.673
199	-1841.822	-1832.340	-2788.142	834.288	-2419.130	-387.139
200	-1842.300	-1832.356	-2788.324	833.926	-2419.024	-386.697
201	-1843.066	-1832.691	-2788.849	833.386	-2418.865	-386.324
202	-1843.911	-1833.006	-2789.637	833.227	-2418.445	-386.328
203	-1844.410	-1832.998	-2790.187	833.544	-2418.047	-386.896
204	-1844.201	-1832.710	-2790.164	833.755	-2418.051	-387.350
